Designator,Mid X,Mid Y,Layer,Rotation
D410,12.574999000000002mm,19.991799mm,Bottom,180.0
R411,12.673399mm,22.891799mm,Bottom,270.0
D417,15.323399000000002mm,23.124999mm,Bottom,180.0
C410,20.567999mm,21.184999mm,Bottom,180.0
D412,16.224999mm,23.741799mm,Top,180.0
R410,13.448399000000002mm,23.774999mm,Top,0.0
D413,16.224999mm,22.116799mm,Top,180.0
C411,15.298399mm,21.324999000000002mm,Bottom,0.0
R413,15.298399mm,19.791799mm,Bottom,0.0
D414,12.774999000000001mm,21.324999000000002mm,Bottom,0.0
D418,16.504999mm,16.124999mm,Top,0.0
D416,21.376599mm,20.218699mm,Top,180.0
U410,20.973399mm,22.824999000000002mm,Top,180.0
C412,20.567999mm,23.224999mm,Bottom,180.0
C413,18.598399mm,22.387899mm,Top,90.0
D411,12.923399mm,21.316499mm,Top,0.0
U420,13.838399mm,12.216799mm,Bottom,180.0
R420,17.948399000000002mm,20.641899mm,Bottom,90.0
C429,16.133399mm,7.624999mm,Bottom,0.0
C427,16.854699mm,20.826899mm,Bottom,270.0
C428,13.944299mm,7.624999mm,Bottom,180.0
C423,14.771599000000002mm,17.716798999999998mm,Bottom,90.0
C421,15.963199mm,17.716798999999998mm,Bottom,90.0
C422,17.154699mm,17.716798999999998mm,Bottom,90.0
C424,13.574999000000002mm,17.716798999999998mm,Bottom,270.0
R421,17.329699mm,15.954999mm,Bottom,0.0
R423,14.044299mm,6.624999mm,Bottom,180.0
D420,15.574999000000002mm,5.624999mm,Top,0.0
C420,12.524999000000001mm,18.124999mm,Bottom,270.0
L420,20.474999mm,18.024999mm,Bottom,180.0
D421,20.824999mm,7.664199mm,Top,270.0
L421,15.074999000000002mm,10.224999mm,Top,0.0
C474,46.165mm,76.3964mm,Bottom,180.0
R470,45.25mm,80.05000000000001mm,Bottom,90.0
U471,46.196999999999996mm,75.015mm,Top,90.0
R474,46.1646mm,74.15mm,Bottom,90.0
R473,45.699999999999996mm,75.40960000000001mm,Bottom,180.0
R472,45.25mm,77.92500000000001mm,Bottom,90.0
C473,47.15mm,74.05000000000001mm,Bottom,90.0
C472,45.3mm,74.05000000000001mm,Bottom,270.0
U470,46.196999999999996mm,78.99000000000001mm,Top,90.0
R471,46.15mm,80.05000000000001mm,Bottom,270.0
C471,47.15mm,80.0mm,Bottom,270.0
C470,47.15mm,77.875mm,Bottom,90.0
R430,71.862499mm,9.118337mm,Top,0.0
C431,64.21249900000001mm,12.568337mm,Top,180.0
C430,67.912499mm,12.568337mm,Top,0.0
U430,66.592499mm,9.318337mm,Top,270.0
D430,71.862499mm,11.538336999999999mm,Top,270.0
C601,91.225mm,39.875mm,Bottom,0.0
C602,91.225mm,38.925mm,Bottom,0.0
C603,93.425mm,38.925mm,Bottom,180.0
C604,91.225mm,37.975mm,Bottom,0.0
C605,92.883332mm,51.8mm,Bottom,90.0
C606,93.425mm,37.975mm,Bottom,0.0
C607,89.0mm,55.474999999999994mm,Bottom,90.0
C608,82.75mm,38.199999999999996mm,Bottom,270.0
C617,85.400372mm,32.375mm,Bottom,0.0
C618,91.0mm,34.799936mm,Bottom,90.0
D604,93.175mm,34.4mm,Bottom,270.0
R602,88.125mm,46.7mm,Bottom,270.0
R603,86.125mm,45.925mm,Bottom,90.0
R604,93.425mm,39.875mm,Bottom,180.0
R605,87.125mm,45.9mm,Bottom,270.0
R606,87.85mm,54.5mm,Bottom,270.0
R607,93.95mm,51.8mm,Bottom,270.0
R608,87.125mm,47.8mm,Bottom,90.0
R609,82.77499999999999mm,40.8mm,Bottom,270.0
R610,90.375mm,49.875mm,Bottom,270.0
R611,90.375mm,51.8mm,Bottom,270.0
R612,91.641666mm,51.8mm,Bottom,90.0
R613,84.475mm,41.775mm,Bottom,180.0
R614,83.7mm,38.195709mm,Bottom,90.0
R615,84.175mm,40.25mm,Bottom,90.0
R616,84.2mm,55.45mm,Bottom,270.0
R618,86.125mm,43.175mm,Bottom,270.0
R619,87.125mm,44.0mm,Bottom,270.0
R620,88.125mm,44.0mm,Bottom,90.0
R621,83.265mm,32.375mm,Bottom,0.0
R622,84.2mm,53.5mm,Bottom,90.0
R623,88.125mm,42.125mm,Bottom,270.0
R624,81.8mm,38.199999999999996mm,Bottom,90.0
R629,87.411348mm,32.385mm,Bottom,180.0
R630,84.685mm,47.215mm,Bottom,270.0
U600,91.675mm,44.425mm,Bottom,0.0
U601,82.75mm,35.074999999999996mm,Bottom,90.0
U605,87.475372mm,36.574999999999996mm,Bottom,270.0
C600,93.05mm,46.662499999999994mm,Top,0.0
C609,91.625mm,38.35mm,Top,0.0
C610,85.075mm,32.952mm,Top,90.0
C611,86.975mm,47.775mm,Top,0.0
C612,85.075mm,47.775mm,Top,180.0
C613,89.6mm,33.85mm,Top,90.0
C614,89.1mm,47.775mm,Top,180.0
C615,82.3mm,37.675mm,Top,180.0
C616,87.1375mm,36.0mm,Top,0.0
D600,92.2mm,56.375mm,Top,180.0
D601,93.52499999999999mm,43.599999999999994mm,Top,270.0
D602,93.52499999999999mm,40.625mm,Top,90.0
D603,82.695mm,36.092549999999996mm,Top,0.0
Q600,88.975mm,51.935mm,Top,180.0
Q601,82.3mm,52.025mm,Top,270.0
R600,91.14999999999999mm,47.724999999999994mm,Top,0.0
R601,93.05mm,47.724999999999994mm,Top,0.0
R617,82.3mm,46.474999999999994mm,Top,180.0
R625,89.625mm,35.824999999999996mm,Top,90.0
R626,93.05mm,45.599999999999994mm,Top,0.0
R627,93.5mm,38.475mm,Top,0.0
R628,85.075mm,35.6mm,Top,270.0
U602,86.825mm,42.125mm,Top,180.0
U603,82.825mm,33.5mm,Top,0.0
U604,87.3mm,33.55mm,Top,90.0
